County_Name,hiv_rate
Belmont,107
Brown,82
Butler,122
Carroll,38
Champaign,79
Clark,118
Clermont,79
Clinton,94
Columbiana,95
Coshocton,62
Crawford,64
Cuyahoga,424
Darke,79
Defiance,84
Delaware,86
Erie,110
Fairfield,127
Fayette,75
Franklin,443
Fulton,53
Gallia,63
Geauga,43
Greene,115
Guernsey,72
Hamilton,412
Hancock,64
Hardin,72
Harrison,
Henry,39
Highland,53
Hocking,99
Holmes,
Huron,70
Jackson,85
Jefferson,81
Knox,49
Lake,83
Lawrence,93
Licking,120
Logan,55
Lorain,159
Lucas,249
Madison,210
Mahoning,241
Marion,174
Medina,55
Meigs,35
Mercer,30
Miami,69
Monroe,41
Montgomery,303
Morgan,95
Morrow,58
Muskingum,90
Noble,215
Ottawa,31
Paulding,63
Perry,113
Pickaway,325
Pike,97
Portage,67
Preble,54
Putnam,36
Richland,143
Ross,137
Sandusky,86
Scioto,121
Seneca,38
Shelby,79
Stark,134
Summit,182
Trumbull,126
Tuscarawas,28
Union,157
Van Wert,42
Vinton,63
Warren,88
Washington,61
Wayne,76
Williams,80
Wood,62
Wyandot,27
Adair,55
Alfalfa,258
Atoka,77
Beaver,0
Beckham,158
Blaine,168
Bryan,127
Caddo,132
Canadian,118
Carter,88
Cherokee,71
Choctaw,170
Cimarron,
Cleveland,128
Coal,
Comanche,181
Cotton,
Craig,213
Creek,122
Custer,71
Delaware,77
Dewey,
Ellis,0
Garfield,103
Garvin,48
Grady,48
Grant,
Greer,217
Harmon,
Harper,
Haskell,76
Hughes,123
Jackson,53
Jefferson,96
Johnston,108
Kay,89
Kingfisher,95
Kiowa,
Latimer,78
Le Flore,135
Lincoln,93
Logan,86
Love,73
McClain,95
McCurtain,59
McIntosh,118
Major,
Marshall,51
Mayes,41
Murray,43
Muskogee,155
Noble,116
Nowata,103
Okfuskee,99
Oklahoma,338
Okmulgee,114
Osage,133
Ottawa,31
Pawnee,87
Payne,94
Pittsburg,107
Pontotoc,72
Pottawatomie,124
Pushmataha,
Roger Mills,
Rogers,85
Seminole,62
Sequoyah,126
Stephens,57
Texas,77
Tillman,
Tulsa,299
Wagoner,61
Washington,90
Washita,
Woods,90
Woodward,134
Baker,73
Benton,64
Clackamas,153
Clatsop,174
Columbia,117
Coos,110
Crook,67
Curry,69
Deschutes,77
Douglas,79
Gilliam,
Grant,
Harney,
Hood River,105
Jackson,136
Jefferson,130
Josephine,108
Klamath,50
Lake,73
Lane,121
Lincoln,116
Linn,96
Malheur,137
Marion,151
Morrow,89
Multnomah,460
Polk,92
Sherman,
Tillamook,110
Umatilla,84
Union,68
Wallowa,
Wasco,152
Washington,169
Wheeler,0
Yamhill,100
Adams,
Allegheny,
Armstrong,
Beaver,
Bedford,
Berks,
Blair,
Bradford,
Bucks,
Butler,
Cambria,
Cameron,
Carbon,
Centre,
Chester,
Clarion,
Clearfield,
Clinton,
Columbia,
Crawford,
Cumberland,
Dauphin,
Delaware,
Elk,
Erie,
Fayette,
Forest,
Franklin,
Fulton,
Greene,
Huntingdon,
Indiana,
Jefferson,
Juniata,
Lackawanna,
Lancaster,
Lawrence,
Lebanon,
Lehigh,
Luzerne,
Lycoming,
McKean,
Mercer,
Mifflin,
Monroe,
Montgomery,
Montour,
Northampton,
Northumberland,
Perry,
Philadelphia,
Pike,
Potter,
Schuylkill,
Snyder,
Somerset,
Sullivan,
Susquehanna,
Tioga,
Union,
Venango,
Warren,
Washington,
Wayne,
Westmoreland,
Wyoming,
York,
Bristol,75
Kent,88
Newport,137
Providence,323
Washington,46
Abbeville,284
Aiken,309
Allendale,636
Anderson,217
Bamberg,831
Barnwell,659
Beaufort,233
Berkeley,266
Calhoun,409
Charleston,528
Cherokee,194
Chester,314
Chesterfield,221
Clarendon,508
Colleton,478
Darlington,466
Dillon,524
Dorchester,231
Edgefield,534
Fairfield,476
Florence,652
Georgetown,416
Greenville,316
Greenwood,397
Hampton,819
Horry,308
Jasper,362
Kershaw,314
Lancaster,201
Laurens,294
Lee,736
Lexington,308
McCormick,321
Marion,594
Marlboro,509
Newberry,330
Oconee,122
Orangeburg,596
Pickens,122
Richland,817
Saluda,234
Spartanburg,279
Sumter,741
Union,221
Williamsburg,848
York,221
Aurora,
Beadle,34
Bennett,
Bon Homme,82
Brookings,24
Brown,28
Brule,
Buffalo,
Butte,
Campbell,
Charles Mix,
Clark,
Clay,74
Codington,26
Corson,
Custer,
Davison,48
Day,
Deuel,
Dewey,
Douglas,0
Edmunds,0
Fall River,
Faulk,0
Grant,
Gregory,
Haakon,
Hamlin,
Hand,
Hanson,
Harding,0
Hughes,55
Hutchinson,
Hyde,0
Jackson,
Jerauld,0
Jones,0
Kingsbury,0
Lake,
Lawrence,45
Lincoln,30
Lyman,
McCook,
McPherson,0
Marshall,
Meade,97
Mellette,
Miner,
Minnehaha,150
Moody,
Oglala Lakota,145
Pennington,79
Perkins,0
Potter,0
Roberts,0
Sanborn,0
Spink,
Stanley,0
Sully,0
Todd,71
Tripp,0
Turner,
Union,
Walworth,
Yankton,78
Ziebach,0
Anderson,122
Bedford,147
Benton,101
Bledsoe,69
Blount,115
Bradley,123
Campbell,70
Cannon,186
Carroll,97
Carter,97
Cheatham,158
Chester,55
Claiborne,62
Clay,
Cocke,119
Coffee,119
Crockett,99
Cumberland,76
Davidson,602
Decatur,100
DeKalb,213
Dickson,134
Dyer,108
Fayette,190
Fentress,71
Franklin,67
Gibson,162
Giles,169
Grainger,96
Greene,82
Grundy,115
Hamblen,107
Hamilton,313
Hancock,
Hardeman,205
Hardin,145
Hawkins,66
Haywood,656
Henderson,90
Henry,90
Hickman,167
Houston,
Humphreys,83
Jackson,118
Jefferson,111
Johnson,121
Knox,227
Lake,341
Lauderdale,265
Lawrence,96
Lewis,79
Lincoln,138
Loudon,118
McMinn,95
McNairy,100
Macon,41
Madison,297
Marion,91
Marshall,138
Maury,181
Meigs,166
Monroe,95
Montgomery,181
Moore,
Morgan,101
Obion,131
Overton,107
Perry,120
Pickett,
Polk,89
Putnam,153
Rhea,114
Roane,86
Robertson,180
Rutherford,214
Scott,33
Sequatchie,127
Sevier,103
Shelby,780
Smith,110
Stewart,
Sullivan,107
Sumner,137
Tipton,164
Trousdale,197
Unicoi,84
Union,55
Van Buren,141
Warren,107
Washington,211
Wayne,109
Weakley,65
White,103
Williamson,77
Wilson,149
Anderson,674
Andrews,94
Angelina,201
Aransas,141
Archer,
Armstrong,0
Atascosa,128
Austin,216
Bailey,
Bandera,120
Bastrop,221
Baylor,
Bee,620
Bell,248
Bexar,376
Blanco,131
Borden,1070
Bosque,104
Bowie,378
Brazoria,260
Brazos,204
Brewster,
Briscoe,
Brooks,192
Brown,140
Burleson,187
Burnet,139
Caldwell,254
Calhoun,88
Callahan,43
Cameron,256
Camp,203
Carson,
Cass,170
Castro,
Chambers,104
Cherokee,265
Childress,165
Clay,68
Cochran,
Coke,
Coleman,69
Collin,218
Collingsworth,0
Colorado,182
Comal,145
Comanche,79
Concho,592
Cooke,70
Coryell,422
Cottle,
Crane,
Crockett,
Crosby,105
Culberson,
Dallam,143
Dallas,807
Dawson,95
Deaf Smith,89
Delta,139
Denton,184
DeWitt,46
Dickens,0
Dimmit,
Donley,
Duval,236
Eastland,70
Ector,188
Edwards,
Ellis,197
El Paso,307
Erath,53
Falls,266
Fannin,197
Fayette,102
Fisher,
Floyd,126
Foard,
Fort Bend,238
Franklin,147
Freestone,443
Frio,579
Gaines,53
Galveston,354
Garza,724
Gillespie,61
Glasscock,
Goliad,
Gonzales,101
Gray,118
Grayson,167
Gregg,460
Grimes,440
Guadalupe,109
Hale,76
Hall,
Hamilton,100
Hansford,0
Hardeman,
Hardin,118
Harris,653
Harrison,170
Hartley,0
Haskell,339
Hays,179
Hemphill,
Henderson,162
Hidalgo,197
Hill,112
Hockley,74
Hood,104
Hopkins,151
Houston,701
Howard,452
Hudspeth,
Hunt,134
Hutchinson,102
Irion,378
Jack,161
Jackson,132
Jasper,133
Jeff Davis,
Jefferson,599
Jim Hogg,122
Jim Wells,82
Johnson,172
Jones,188
Karnes,262
Kaufman,202
Kendall,130
Kenedy,
Kent,
Kerr,119
Kimble,0
King,
Kinney,252
Kleberg,108
Knox,
Lamar,156
Lamb,189
Lampasas,69
La Salle,138
Lavaca,102
Lee,139
Leon,180
Liberty,396
Limestone,137
Lipscomb,0
Live Oak,106
Llano,141
Loving,
Lubbock,176
Lynn,107
McCulloch,132
McLennan,208
McMullen,0
Madison,342
Marion,216
Martin,
Mason,
Matagorda,205
Maverick,172
Medina,150
Menard,0
Midland,135
Milam,196
Mills,0
Mitchell,
Montague,86
Montgomery,172
Moore,107
Morris,182
Motley,
Nacogdoches,185
Navarro,227
Newton,65
Nolan,157
Nueces,205
Ochiltree,63
Oldham,0
Orange,181
Palo Pinto,115
Panola,148
Parker,92
Parmer,77
Pecos,92
Polk,420
Potter,274
Presidio,86
Rains,112
Randall,117
Reagan,
Real,
Red River,161
Reeves,810
Refugio,0
Roberts,0
Robertson,164
Rockwall,114
Runnels,93
Rusk,385
Sabine,110
San Augustine,112
San Jacinto,161
San Patricio,92
San Saba,139
Schleicher,
Scurry,70
Shackelford,
Shelby,186
Sherman,
Smith,220
Somervell,82
Starr,74
Stephens,176
Sterling,0
Stonewall,0
Sutton,
Swisher,98
Tarrant,320
Taylor,208
Terrell,
Terry,136
Throckmorton,0
Titus,143
Tom Green,111
Travis,459
Trinity,200
Tyler,226
Upshur,114
Upton,
Uvalde,96
Val Verde,113
Van Zandt,98
Victoria,165
Walker,1108
Waller,150
Ward,87
Washington,163
Webb,215
Wharton,209
Wheeler,
Wichita,122
Wilbarger,
Willacy,602
Williamson,157
Wilson,109
Winkler,147
Wise,111
Wood,174
Yoakum,76
Young,40
Zapata,92
Zavala,84
Beaver,0
Box Elder,46
Cache,43
Carbon,66
Daggett,0
Davis,69
Duchesne,46
Emery,0
Garfield,
Grand,111
Iron,35
Juab,60
Kane,
Millard,71
Morgan,
Piute,0
Rich,
Salt Lake,212
San Juan,
Sanpete,37
Sevier,42
Summit,62
Tooele,55
Uintah,48
Utah,40
Wasatch,21
Washington,69
Wayne,
Weber,80
Addison,95
Bennington,154
Caledonia,84
Chittenden,147
Essex,238
Franklin,70
Grand Isle,115
Lamoille,69
Orange,103
Orleans,112
Rutland,104
Washington,69
Windham,175
Windsor,145
Accomack,337
Albemarle,156
Alleghany,156
Amelia,128
Amherst,143
Appomattox,182
Arlington,439
Augusta,94
Bath,
Bedford,81
Bland,156
Botetourt,86
Brunswick,440
Buchanan,87
Buckingham,452
Campbell,117
Caroline,245
Carroll,65
Charles City,255
Charlotte,145
Chesterfield,209
Clarke,154
Craig,
Culpeper,220
Cumberland,214
Dickenson,
Dinwiddie,149
Essex,188
Fairfax,231
Fauquier,121
Floyd,103
Fluvanna,147
Franklin,121
Frederick,112
Giles,89
Gloucester,128
Goochland,324
Grayson,85
Greene,75
Greensville,914
Halifax,267
Hanover,125
Henrico,292
Henry,103
Highland,
Isle of Wight,213
James City,84
King and Queen,227
King George,169
King William,87
Lancaster,291
Lee,81
Loudoun,106
Louisa,109
Lunenburg,272
Madison,97
Mathews,152
Mecklenburg,280
Middlesex,167
Montgomery,65
Nelson,138
New Kent,143
Northampton,224
Northumberland,164
Nottoway,516
Orange,139
Page,69
Patrick,64
Pittsylvania,145
Powhatan,302
Prince Edward,221
Prince George,305
Prince William,227
Pulaski,70
Rappahannock,77
Richmond,387
Roanoke,117
Rockbridge,51
Rockingham,83
Russell,46
Scott,51
Shenandoah,74
Smyth,119
Southampton,268
Spotsylvania,133
Stafford,151
Surry,259
Sussex,543
Tazewell,66
Warren,127
Washington,91
Westmoreland,164
Wise,89
Wythe,108
York,86
Alexandria City,646
Bristol City,34
Buena Vista City,
Charlottesville City,329
Chesapeake City,226
Colonial Heights City,74
Covington City,247
Danville City,372
Emporia City,133
Fairfax City,380
Falls Church City,211
Franklin City,279
Fredericksburg City,281
Galax City,108
Hampton City,432
Harrisonburg City,131
Hopewell City,311
Lexington City,105
Lynchburg City,257
Manassas City,247
Manassas Park City,144
Martinsville City,242
Newport News City,455
Norfolk City,687
Norton City,0
Petersburg City,529
Poquoson City,58
Portsmouth City,611
Radford City,69
Richmond City,535
Roanoke City,449
Salem City,117
Staunton City,191
Suffolk City,231
Virginia Beach City,218
Waynesboro City,183
Williamsburg City,204
Winchester City,278
Adams,106
Asotin,94
Benton,65
Chelan,84
Clallam,106
Clark,170
Columbia,257
Cowlitz,139
Douglas,35
Ferry,
Franklin,102
Garfield,
Grant,53
Grays Harbor,128
Island,119
Jefferson,113
King,370
Kitsap,133
Kittitas,73
Klickitat,70
Lewis,80
Lincoln,90
Mason,147
Okanogan,72
Pacific,170
Pend Oreille,87
Pierce,195
San Juan,141
Skagit,90
Skamania,49
Snohomish,154
Spokane,133
Stevens,50
Thurston,118
Wahkiakum,
Walla Walla,110
Whatcom,108
Whitman,60
Yakima,123
Barbour,83
Berkeley,153
Boone,51
Braxton,57
Brooke,35
Cabell,179
Calhoun,
Clay,0
Doddridge,78
Fayette,96
Gilmer,232
Grant,89
Greenbrier,111
Hampshire,74
Hancock,27
Hardy,76
Harrison,79
Jackson,36
Jefferson,100
Kanawha,192
Lewis,
Lincoln,0
Logan,31
McDowell,86
Marion,53
Marshall,58
Mason,30
Mercer,74
Mineral,38
Mingo,53
Monongalia,103
Monroe,250
Morgan,38
Nicholas,32
Ohio,103
Pendleton,98
Pleasants,214
Pocahontas,
Preston,86
Putnam,69
Raleigh,174
Randolph,83
Ritchie,
Roane,
Summers,122
Taylor,48
Tucker,
Tyler,90
Upshur,33
Wayne,40
Webster,81
Wetzel,37
Wirt,
Wood,71
Wyoming,32
Adams,116
Ashland,60
Barron,75
Bayfield,38
Brown,97
Buffalo,
Burnett,75
Calumet,36
Chippewa,41
Clark,40
Columbia,66
Crawford,78
Dane,148
Dodge,126
Door,45
Douglas,45
Dunn,39
Eau Claire,39
Florence,0
Fond du Lac,64
Forest,
Grant,29
Green,22
Green Lake,69
Iowa,25
Iron,
Jackson,63
Jefferson,37
Juneau,88
Kenosha,147
Kewaunee,46
La Crosse,100
Lafayette,
Langlade,
Lincoln,24
Manitowoc,48
Marathon,53
Marinette,54
Marquette,99
Menominee,147
Milwaukee,365
Monroe,40
Oconto,24
Oneida,35
Outagamie,69
Ozaukee,38
Pepin,
Pierce,34
Polk,27
Portage,46
Price,
Racine,139
Richland,
Rock,103
Rusk,74
St. Croix,20
Sauk,60
Sawyer,35
Shawano,46
Sheboygan,70
Taylor,
Trempealeau,32
Vernon,36
Vilas,
Walworth,53
Washburn,51
Washington,38
Waukesha,44
Waupaca,52
Waushara,57
Winnebago,67
Wood,46
Albany,48
Big Horn,51
Campbell,56
Carbon,53
Converse,
Crook,0
Fremont,73
Goshen,70
Hot Springs,
Johnson,
Laramie,107
Lincoln,58
Natrona,72
Niobrara,0
Park,20
Platte,
Sheridan,27
Sublette,
Sweetwater,73
Teton,65
Uinta,30
Washakie,0
Weston,
